"time","left.y","left.x","left.dt","right.y","right.x","right.dt","x.mid","dt.mid"
10522,1103.51,-155.756,5882.25,1110.48,62.5799,5786.68,-46.58805,5834.465
10555,1103.67,-134.683,5883.12,1113.89,82.0529,5697.96,-26.31505,5790.54
10589,1104.03,-134.727,5885.04,1104.79,61.1171,5651.42,-36.80495,5768.23
10622,1104.27,-134.756,5886.31,1108.13,81.6286,5668.5,-26.5637,5777.405
10655,1103.12,-134.615,5880.16,1111.6,83.4146,5792.52,-25.6002,5836.34
10689,1102.39,-134.527,5876.3,1100.13,81.0398,5627.6,-26.7436,5751.95
10723,1102.54,-134.545,5877.1,1105.96,81.4691,5657.42,-26.53795,5767.26
10756,1102.64,-134.557,5877.62,1092.43,79.0226,5487.52,-27.7672,5682.57
10790,1084.11,-134.874,5891.44,1090.31,78.8693,5476.88,-28.00235,5684.16
10824,1079.99,-134.361,5869.06,1094.33,79.1602,5497.08,-27.6004,5683.07
10856,1076.55,-112.955,5850.37,1091.4,78.9483,5482.37,-17.00335,5666.37
10890,1085.62,77.1403,5356.81,1072.32,-112.51,5827.37,-17.68485,5592.09
10924,1086.72,77.2184,5362.24,1079.5,-111.099,5754.25,-16.9403,5558.245
10957,1090.01,76.1056,5284.96,1067.94,-109.909,5692.62,-16.9017,5488.79
10991,1060.98,57.6364,5329.56,1090.03,-87.6607,5575.91,-15.01215,5452.735
11023,1082.08,56.7384,5246.52,1108.11,-85.9611,5467.81,-14.61135,5357.165
11057,1094.28,56.3979,5215.03,1111.02,-84.6882,5386.84,-14.14515,5300.935
11091,1085.33,-64.99,5355.41,1065.29,75.6958,5256.51,5.35290000000001,5305.96
11124,1098.97,-63.5576,5237.37,1075.72,56.405,5215.69,-3.5763,5226.53
11158,1092.49,-59.2463,5188.75,1086.04,55.9731,5175.75,-1.6366,5182.25
11191,1089.31,-59.0735,5173.62,1085.01,55.7294,5153.22,-1.67205,5163.42
11226,1087.96,-59.0007,5167.24,1081.1,55.5285,5134.64,-1.7361,5150.94
11259,1086.23,-39.7304,5072.64,1073.5,55.1384,5098.56,7.704,5085.6
11291,1082.32,-39.5871,5054.34,1083.39,54.7142,5059.34,7.56355,5056.84
11326,1079.37,14.5032,4957.56,1070.31,54.0537,4998.27,34.27845,4977.915
11358,1064.73,-21.1139,4972.22,1061.96,53.6324,4959.31,16.25925,4965.765
11391,1059.66,14.2384,4867.05,1069.57,71.9276,4994.83,43.083,4930.94
11425,1057.67,35.1157,4857.9,1064.36,52.8679,4888.62,43.9918,4873.26
11458,1062.42,-20.7211,4879.73,1065.94,52.9466,4895.9,16.11275,4887.815
11492,1070.24,-20.5354,4835.99,1070.45,70.8012,4916.61,25.1329,4876.3
11526,1080.79,-38.25,4883.64,1067.42,70.6006,4902.68,16.1753,4893.16
11559,1064.65,-20.3622,4795.2,1062.22,70.2565,4878.78,24.94715,4836.99
11593,1075.13,-20.2357,4765.41,1047.93,70.4721,4893.76,25.1182,4829.585
11626,1091.58,-19.9124,4689.26,1056.72,69.8929,4853.54,24.99025,4771.4
11660,1098.38,-19.4376,4577.47,1045.84,70.3318,4884.01,25.4471,4730.74
11694,1098.99,-19.7433,4649.46,1042.55,70.1105,4868.65,25.1836,4759.055
11726,1096.01,-19.6899,4636.88,1040.09,69.9453,4857.17,25.1277,4747.025
11761,1088.76,-19.5595,4606.18,1040.43,69.9681,4858.76,25.2043,4732.47
11793,1082.79,-19.4524,4580.93,1026.39,87.6797,4874.8,34.11365,4727.865
11826,1083.16,-35.8917,4582.52,1022.03,87.3078,4854.12,25.70805,4718.32
11860,1077.41,-35.701,4558.19,1029.89,89.9553,4809.54,27.12715,4683.865
11893,1081.54,-35.3022,4507.26,1035.62,106.023,4756.65,35.3604,4631.955
11927,1077.88,-35.078,4478.64,1056.19,104.348,4681.48,34.635,4580.06
11960,1071.19,-34.9644,4464.13,1070.95,119.043,4600.63,42.0393,4532.38
11994,1067.99,-34.756,4437.53,1077.71,134.328,4559.46,49.786,4498.495
12025,1066.12,-34.6952,4429.77,1075.53,147.684,4468.88,56.4944,4449.325
12061,1071.95,-34.3729,4388.62,1071.73,163.882,4387.71,64.75455,4388.165
